Name,Yarn,Link,Image_URL,Hex Code Blend,Hex Code
"<a href=""https://www.jamiesonsofshetland.co.uk/111-sholmitshaela-spindrift-53-p.asp"">111 Sholmit/Shaela Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/111-sholmit-shaela-spindrift-spindrift-double-knitting-double-knitting-55-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""111 Sholmit/Shaela Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/111-sholmitshaela-spindrift-53-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/111-sholmit-shaela-spindrift-spindrift-double-knitting-double-knitting-55-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#504d47,#514e47
"<a href=""https://www.jamiesonsofshetland.co.uk/112-shaelawhite-spindrift-56-p.asp"">112 Shaela/White Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/112-shaela-white-spindrift-spindrift-double-knitting-double-knitting-58-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""112 Shaela/White Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/112-shaelawhite-spindrift-56-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/112-shaela-white-spindrift-spindrift-double-knitting-double-knitting-58-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#57544d,#6a665d
"<a href=""https://www.jamiesonsofshetland.co.uk/113-sholmitwhite-spindrift-59-p.asp"">113 Sholmit/White Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/113-sholmit-white-spindrift-spindrift-double-knitting-double-knitting-61-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""113 Sholmit/White Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/113-sholmitwhite-spindrift-59-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/113-sholmit-white-spindrift-spindrift-double-knitting-double-knitting-61-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#908e82,#bbb8a9
"<a href=""https://www.jamiesonsofshetland.co.uk/114-mooskitwhite-spindrift-62-p.asp"">114 Mooskit/White Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/114-mooskit-white-spindrift-spindrift-double-knitting-double-knitting-64-p.jpg?w=439&h=440&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""114 Mooskit/White Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/114-mooskitwhite-spindrift-62-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/114-mooskit-white-spindrift-spindrift-double-knitting-double-knitting-64-p.jpg?w=439&h=440&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#b1ac9d,#e0dbc8
"<a href=""https://www.jamiesonsofshetland.co.uk/115-mooskitshaela-spindrift-65-p.asp"">115 Mooskit/Shaela Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/115-mooskit-shaela-spindrift-spindrift-double-knitting-double-knitting-67-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""115 Mooskit/Shaela Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/115-mooskitshaela-spindrift-65-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/115-mooskit-shaela-spindrift-spindrift-double-knitting-double-knitting-67-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#4d4840,#625b51
"<a href=""https://www.jamiesonsofshetland.co.uk/116-mooriteesit-spindrift-68-p.asp"">116 Moorit/Eesit Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/116-moorit-eesit-spindrift-spindrift-double-knitting-double-knitting-70-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""116 Moorit/Eesit Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/116-mooriteesit-spindrift-68-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/116-moorit-eesit-spindrift-spindrift-double-knitting-double-knitting-70-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#5b5044,#736250
"<a href=""https://www.jamiesonsofshetland.co.uk/117-mooritblack-spindrift-71-p.asp"">117 Moorit/Black Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/117-moorit-black-spindrift-spindrift-double-knitting-double-knitting-73-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""117 Moorit/Black Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/117-mooritblack-spindrift-71-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/117-moorit-black-spindrift-spindrift-double-knitting-double-knitting-73-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#25201c,#28231f
"<a href=""https://www.jamiesonsofshetland.co.uk/118-mooritshaela-spindrift-74-p.asp"">118 Moorit/Shaela Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/118-moorit-shaela-spindrift-spindrift-double-knitting-double-knitting-76-p.jpg?w=440&h=441&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""118 Moorit/Shaela Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/118-mooritshaela-spindrift-74-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/118-moorit-shaela-spindrift-spindrift-double-knitting-double-knitting-76-p.jpg?w=440&h=441&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#332d27,#403b35
"<a href=""https://www.jamiesonsofshetland.co.uk/119-sholmitmooskit-spindrift-77-p.asp"">119 Sholmit/Mooskit Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/119-sholmit-mooskit-spindrift-spindrift-double-knitting-double-knitting-79-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""119 Sholmit/Mooskit Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/119-sholmitmooskit-spindrift-77-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/119-sholmit-mooskit-spindrift-spindrift-double-knitting-double-knitting-79-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#746f64,#9c9688
"<a href=""https://www.jamiesonsofshetland.co.uk/120-eesitwhite-spindrift-80-p.asp"">120 Eesit/White Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/120-eesit-white-spindrift-spindrift-double-knitting-double-knitting-82-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""120 Eesit/White Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/120-eesitwhite-spindrift-80-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/120-eesit-white-spindrift-spindrift-double-knitting-double-knitting-82-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#afab9b,#e2ddca
